Hours_Studied,Exam_Score,Parental_Involvement,Motivation_Level,Previous_Scores,Attendance,Access_to_Resources,Learning_Disabilities
23,67,Low,Low,73,84,High,No
19,61,Low,Low,59,64,Medium,No
24,74,Medium,Medium,91,98,Medium,No
29,71,Low,Medium,98,89,Medium,No
19,70,Medium,Medium,65,92,Medium,No
19,71,Medium,Medium,89,88,Medium,No
29,67,Medium,Low,68,84,Low,No
25,66,Low,Medium,50,78,High,No
17,69,Medium,High,80,94,High,No
23,72,Medium,Medium,71,98,Medium,No
17,68,Low,Medium,88,80,High,No
17,71,Medium,Low,87,97,High,No
21,70,Medium,Low,97,83,Medium,No
9,66,Medium,Medium,72,82,Medium,No
10,65,Medium,Medium,74,78,High,No
17,64,Medium,Medium,70,68,Medium,No
14,60,Medium,Low,65,60,Low,No
22,65,Low,Medium,82,70,Medium,No
15,67,Medium,Low,91,80,Medium,No
12,66,Medium,Medium,58,75,High,No
29,69,Medium,High,99,78,Medium,No
19,72,Medium,Medium,84,99,High,No
20,66,Medium,Low,89,74,High,No
11,66,High,High,100,78,Medium,No
17,63,Low,Medium,75,65,High,No
21,64,High,High,54,62,Low,No
13,65,Low,Medium,90,91,Medium,Yes
22,71,High,Medium,94,83,High,No
16,66,Medium,Medium,58,90,Medium,No
18,64,High,Low,51,66,High,No
16,63,Low,Medium,57,83,Medium,Yes
31,69,Medium,Medium,66,70,High,No
20,67,Medium,Medium,96,69,Medium,No
14,61,High,Medium,50,60,Medium,No
25,68,High,Medium,90,65,Medium,No
13,61,Low,Low,93,72,Medium,No
21,64,Medium,Low,91,65,Low,No
8,67,Medium,Low,54,99,Medium,No
12,63,Low,Medium,84,72,Medium,No
21,64,Low,Low,98,65,Medium,No
24,67,High,Low,56,68,Medium,No
21,65,Medium,Low,52,84,Medium,Yes
19,64,Low,Medium,94,63,High,No
18,70,Medium,Medium,82,94,High,Yes
11,68,Medium,Low,82,98,Medium,No
16,65,Medium,Medium,98,70,Medium,No
17,68,Medium,Medium,88,78,Medium,No
26,64,Medium,Medium,70,61,Low,No
22,68,Low,Low,72,86,Medium,No
9,63,Medium,Medium,57,77,Medium,No
22,64,Low,Low,65,71,Medium,No
18,64,High,Medium,72,68,Medium,No
16,67,Low,Medium,63,86,Medium,No
24,67,High,Medium,96,77,Low,No
26,66,Medium,Low,51,67,High,Yes
26,72,Medium,Medium,79,88,High,No
15,65,Medium,Low,89,83,High,Yes
18,71,Medium,High,87,94,Medium,No
22,66,High,Medium,82,65,Low,No
26,68,Medium,Medium,71,91,Low,No
17,70,Medium,Medium,96,87,Medium,No
19,62,Medium,Low,66,65,Medium,No
13,68,Low,High,88,88,High,No
13,67,Medium,High,96,78,High,No
25,71,Low,Medium,56,98,High,No
28,68,Medium,Medium,97,66,High,No
20,69,Medium,Medium,89,86,Medium,No
26,70,Low,High,81,75,High,No
22,69,Medium,Low,69,98,High,No
16,65,Medium,Medium,95,73,Medium,No
22,70,Medium,Medium,52,98,Low,No
29,71,Medium,Medium,72,96,Low,No
20,65,Medium,Medium,88,71,Medium,No
29,72,Low,Medium,91,92,Medium,No
4,69,High,High,60,100,High,No
25,66,Medium,Medium,52,70,Medium,No
21,68,Low,Medium,90,77,Medium,No
18,65,High,Medium,71,81,Low,No
21,64,Medium,Medium,57,72,Medium,Yes
8,60,Medium,Medium,54,61,Medium,No
19,65,Medium,High,82,69,High,No
22,66,High,High,79,71,Medium,No
29,74,High,Low,93,78,High,No
17,62,Medium,High,52,67,Medium,No
15,70,Medium,Medium,93,95,Medium,No
17,69,Medium,Low,94,88,High,No
25,67,Medium,Medium,72,63,High,No
22,64,Low,Medium,54,86,Low,No
17,71,Medium,High,97,86,High,No
23,68,Medium,Low,54,98,Low,No
21,64,High,Medium,80,60,Medium,Yes
26,63,Medium,Medium,75,70,Low,Yes
16,71,Medium,Low,92,97,Medium,No
18,69,High,Low,75,97,Medium,No
11,68,Medium,Medium,94,91,Medium,No
22,62,Low,Low,98,64,Medium,No
22,68,Medium,Low,77,81,Medium,No
20,66,High,Medium,73,69,High,No
19,64,Low,High,92,67,Medium,No
12,67,Medium,High,92,92,Medium,Yes
17,65,Medium,Medium,66,65,High,Yes
18,65,Medium,Medium,79,79,Medium,No
15,69,High,High,58,98,Medium,No
19,63,Medium,High,82,67,Medium,No
